,neighborhood,area,longitude,latitude,total_population,total_males,total_females,geohash
0,san-pedro,12.058718195199999,-118.287943293647,33.7377429176334,82030,40647,41383,9mgzumc2e5he
1,pacific-palisades,22.8376013762,-118.546139306189,34.078117413790196,24666,11693,12973,9q59y7tr6txb
2,brentwood,15.223701413499999,-118.495424971292,34.088877381044895,33665,14984,18681,9q59ztdq07r4
3,harbor-city,2.58132095337,-118.29763869278798,33.7931322740452,26521,12880,13641,9q5bhpf730rq
4,wilmington,9.141292704400001,-118.25956380245701,33.7813737279216,57387,28850,28537,9q5bhvwnb2mz
5,harbor-gateway,5.14092312531,-118.29474201604499,33.866237053646806,41822,20507,21315,9q5bsjhmhspj
6,playa-del-rey,2.75429310607,-118.438213032316,33.95035561531861,11425,5728,5697,9q5c0u7zjsgr
7,westchester,10.809211706700001,-118.400365360905,33.9533757005698,41285,19292,21993,9q5c1tp2xxbx
8,venice,3.17076584054,-118.462583128799,33.9910228566115,33989,17358,16632,9q5c27fhj9zv
9,mar-vista,2.8952538564099997,-118.435455219144,34.0093723405984,37787,19349,18438,9q5c2zjyvyeb
10,playa-vista,1.2992917645200002,-118.414941359134,33.978716150042,11818,5670,6148,9q5c33su7gu0
11,del-rey,2.4526483285,-118.42389802277599,33.9896913674891,30071,14403,15667,9q5c35wk71tq
12,gramercy-park,1.13403882337,-118.309398615875,33.951215178757,10850,4196,6653,9q5c5u9spjnr
13,manchester-square,1.01264126487,-118.30898669183,33.9671504370882,11457,4770,6687,9q5c5zd0bzc8
14,hyde-park,2.88464641644,-118.32975616125499,33.9861063845766,36341,16839,19502,9q5c76fzkv6t
15,chesterfield-square,0.633386374403,-118.313172372672,33.9836395652323,8129,3952,4177,9q5c7dwcp38d
16,harvard-park,0.6406664121769999,-118.304536822024,33.983757795829995,9426,4572,4854,9q5c7ft38rxe
17,leimert-park,1.19252997439,-118.326565334637,34.0122596586952,12407,5344,7062,9q5c7rtpz0tz
18,sawtelle,2.6911809447299997,-118.449184280133,34.036125869826,42671,21709,20963,9q5c8s5fvcwx
19,rancho-park,0.599121035635,-118.425975494998,34.0343152693368,5201,2457,2744,9q5c95ub6b0q
20,palms,1.9453590162099998,-118.409743802437,34.0249352025734,41196,20908,20288,9q5c9d09sgxs
21,west-los-angeles,1.0495731315899999,-118.4301994867,34.0466112857537,13025,6155,6870,9q5c9jczbk6g
22,century-city,0.700611362635,-118.415560808487,34.0549482987606,6013,2845,3169,9q5c9rs2mqqp
23,cheviot-hills,1.53643338074,-118.40918811107201,34.040291381247,8463,4091,4372,9q5c9sc51fjz
24,beverlywood,0.7943418369320001,-118.393787183231,34.0446458898677,7111,3398,3713,9q5c9vsk2vcx
25,westwood,3.6757772963,-118.43765537893199,34.0662197923079,53081,24609,28472,9q5cbcs64eek
26,bel-air,6.37332143094,-118.461186924055,34.0993486423834,7559,3673,3886,9q5cbre5n72c
27,baldwin-hillscrenshaw,2.8837046734400005,-118.35463326646601,34.0154892088238,30097,13898,16198,9q5cdb2f94v0
28,west-adams,1.4820081937799998,-118.352750822073,34.0294660497467,21153,10523,10630,9q5cdffhj00x
29,pico-robertson,1.0315564474299999,-118.386680338655,34.0537868260909,18087,8511,9576,9q5cdp33wmuz
30,mid-city,3.46810947987,-118.360621930055,34.041246563033,51010,24244,26766,9q5cdth2ts79
31,mid-wilshire,2.78116898514,-118.345328364884,34.0575414054592,43195,20480,22716,9q5cdzzx9cz7
32,exposition-park,1.84679077622,-118.301558903032,34.017644978532196,35002,17417,17585,9q5cebxrjush
33,jefferson-park,1.4190200981999999,-118.32227449861901,34.029233739971396,25722,11698,14024,9q5cedb6ehvq
34,arlington-heights,1.0314152352700001,-118.321401426952,34.0439543631843,23212,11484,11729,9q5cet8brt06
35,harvard-heights,0.7918288221170001,-118.30675981238701,34.0451912738024,19884,9986,9898,9q5cevexsewh
36,carthay,0.504675757272,-118.369611941448,34.058057646577396,5289,2784,2505,9q5cf2jfs4h5
37,beverly-grove,1.6486831333200003,-118.371392318352,34.0756482172422,22190,10154,12037,9q5cf7k949hx
38,fairfax,1.2339647731399999,-118.35240811428001,34.0790889934278,13623,6695,6927,9q5cfgfmj48h
39,hancock-park,1.5179795569799999,-118.335087975303,34.072695303684604,10271,4766,5506,9q5cg4xpbdg0
40,koreatown,2.70048311541,-118.30240762557501,34.064126883821395,106925,53577,53347,9q5cgcnvfj7r
41,windsor-square,0.6834638024840001,-118.32006128934299,34.06921936002011,6420,3045,3376,9q5cgd1gwdzc
42,hollywood,3.5063902209599997,-118.33070476841499,34.0949553772497,72811,39533,33278,9q5cgqf1w8r6
43,larchmont,0.486332164533,-118.31778183334299,34.0799679158394,8687,4227,4460,9q5cgs5d5y7r
44,vermont-vista,1.64553261505,-118.28585301271299,33.9418429108616,25291,11621,13670,9q5ch6fvef57
45,broadway-manchester,1.55848582484,-118.274830637847,33.9414296324089,28861,13337,15524,9q5chdfghtn4
46,green-meadows,2.21985249315,-118.26186843216401,33.9411685732703,36086,16972,19114,9q5chfu3dsrs
47,vermont-knolls,1.14170882157,-118.290570472939,33.9671386759274,22285,10435,11850,9q5chpx2vvtd
48,watts,2.12239731805,-118.240769168848,33.9398295129211,45195,21606,23590,9q5cj6e9y6u3
49,vermont-slauson,1.44245256524,-118.29038984285499,33.983890060369,27976,13320,14656,9q5ck4xdd0k2
50,florence,2.7976788532300003,-118.26856538914,33.9745350898068,53704,26526,27177,9q5ck8zkn8mg
51,vermont-square,2.5443801572,-118.299006304058,34.0019547745743,50365,24991,25375,9q5ckjc79rg2
52,south-park,1.4093517611000002,-118.268578900617,33.996488721126106,33868,16609,17259,9q5cksz7ykgf
53,central-alameda,2.18269484806,-118.247731695862,34.0051840005096,45348,22590,22757,9q5cmnqws1sx
54,adams-normandie,0.805350187789,-118.30028794309999,34.03141138112439,17947,8917,9030,9q5cs50r76zu
55,university-park,1.1671435465200002,-118.283446835742,34.0282084319726,23695,11213,12482,9q5cs6ssevv3
56,historic-south-central,2.55351898402,-118.267475729764,34.0170175579362,49556,25039,24516,9q5csb872pdm
57,pico-union,1.6694688873399999,-118.286767796932,34.0446376676857,43144,21630,21513,9q5csmdhqs3n
58,downtown,5.83816978008,-118.245896714948,34.0390367306363,52170,30979,21192,9q5cthxgybkg
59,westlake,2.7173055352599995,-118.273879475135,34.0620033728351,109763,57081,52682,9q5cu8g9dcek
60,east-hollywood,2.3787363778,-118.297367118649,34.0886782772603,67318,33760,33558,9q5cujdkzw1y
61,silver-lake,2.74910600903,-118.26910923713301,34.0942986352129,31094,15893,15200,9q5cuwxjdjbm
62,chinatown,0.909367075497,-118.234873195503,34.063804857286,14254,8976,5278,9q5cv3pupc2w
63,echo-park,2.39828121013,-118.256438739803,34.07896989023239,35340,17983,17356,9q5cv5bk3k2j
64,elysian-park,1.64508429808,-118.23819938017999,34.0790010582942,2511,1246,1265,9q5cv7vsd60r
65,elysian-valley,0.7897594670710001,-118.241735646591,34.097336260525395,7399,3720,3679,9q5cvr4zru5t
66,cypress-park,0.7244619945469999,-118.224877089869,34.0908779594877,10078,5055,5023,9q5cvwp3b8q0
67,boyle-heights,6.51900530941,-118.208923212465,34.0385867574111,92373,45601,46772,9q5cwhdchkqr
68,lincoln-heights,2.51055393684,-118.21254412134199,34.0717369473467,29064,14900,14164,9q5cy4862047
69,el-sereno,4.16777889868,-118.175888191755,34.0791292680666,42448,20161,22287,9q5cygfvq4ph
70,montecito-heights,2.40964422507,-118.193592061901,34.0936089932855,18150,8902,9248,9q5cyqw19tq5
71,woodland-hills,14.768309647999999,-118.604936192714,34.1662294313396,67709,33510,34199,9q5dm5f88wv9
72,tarzana,8.79090161634,-118.545659585178,34.1563890938801,38333,18798,19535,9q5dq3vxmumm
73,encino,9.499707000339999,-118.501550071837,34.1524572627509,47064,22151,24914,9q5dr3mb3xrz
74,sepulveda-basin,3.13655865329,-118.488625904421,34.1767860114472,829,418,411,9q5drtxnnysv
75,west-hills,8.52807835884,-118.63779298395,34.2064058656575,39837,18962,20875,9q5ds74dg01z
76,chatsworth-reservoir,1.8010929772,-118.630173476673,34.232441430251,144,71,73,9q5dsxb4kte7
77,canoga-park,4.348518125280001,-118.600433448743,34.208970401912396,61409,30997,30411,9q5dt5tc9w71
78,winnetka,4.77724070209,-118.57513773086599,34.210498514370606,53677,27397,26281,9q5dtgb4x50u
79,reseda,5.86549089197,-118.540299981768,34.2034456031476,71531,35086,36445,9q5dwd99db3u
80,lake-balboa,3.12585429603,-118.506665157038,34.2018902632431,27221,13854,13367,9q5dx6606w3y
81,northridge,9.467487439410002,-118.529821829834,34.2387901779388,68969,34781,34187,9q5dybcpqvnf
82,north-hills,5.30811801222,-118.478166045289,34.2385288505805,64007,31715,32292,9q5dzbyvfskk
83,porter-ranch,5.586169658719999,-118.547465688547,34.2783460235156,25894,13118,12776,9q5en2hmgfff
84,granada-hills,15.1114320603,-118.50511504742902,34.2902834596241,53634,26778,26855,9q5ep675qsjs
85,beverly-crest,8.23609299869,-118.427000464209,34.1115957260107,10926,5338,5588,9q5f11u46yk4
86,studio-city,6.3079252425400005,-118.38876887364201,34.1397736469957,39809,19417,20391,9q5f1yzytepd
87,sherman-oaks,9.14693779041,-118.44225010006201,34.1506975079921,71685,35002,36683,9q5f2bbypx3j
88,valley-village,2.08539977324,-118.397406714567,34.1633055910402,25395,12218,13177,9q5f3g1xsmwz
89,valley-glen,4.805544471469999,-118.41848806823499,34.1864093448339,58322,28409,29913,9q5f3r6q30x7
90,hollywood-hills-west,4.87457437609,-118.371463329667,34.109909879141505,15808,8392,7416,9q5f43s88upd
91,hollywood-hills,7.04764074288,-118.32947890080601,34.126912792599605,21655,11539,10116,9q5f5ke5em9k
92,toluca-lake,1.21722776833,-118.357258963738,34.1520581663593,9226,4635,4591,9q5f69ny5vp4
93,north-hollywood,5.86911546946,-118.37804961634701,34.1809295771243,80826,41610,39216,9q5f6nrwre0e
94,van-nuys,8.99090891865,-118.464831575214,34.1983802744595,112390,56164,56226,9q5f838s125h
95,panorama-city,3.64799571506,-118.44526785439501,34.2243670614176,69320,33841,35479,9q5f8wqg3hqv
96,mission-hills,3.1874975889,-118.4598587364,34.2668281370827,19061,9553,9508,9q5fbqh4tpxp
97,arleta,3.0961791755699997,-118.43209933838301,34.2414364662394,34737,17212,17525,9q5fc12qu46h
98,pacoima,7.1375539566,-118.416353202689,34.263785060746194,80002,39960,40041,9q5fcmec4brr
99,sun-valley,9.42392419761,-118.388572171849,34.220236635502,70289,34755,35534,9q5fdj85666q
100,hansen-dam,1.9610692364400002,-118.38115159917601,34.2669223738813,146,75,70,9q5ffnj7r1rd
101,shadow-hills,12.8068716307,-118.33894557382798,34.2400896399711,13207,6333,6875,9q5fg1hnyxqd
102,sunland,4.004117355280001,-118.312890154065,34.2688990173882,14526,7156,7370,9q5fgwrnvcfc
103,los-feliz,2.6079550981799997,-118.287826339384,34.1084306024927,33052,16403,16648,9q5fh332jb7c
104,griffith-park,5.83352180271,-118.293806550004,34.136904636405,284,135,149,9q5fhnmjfs28
105,atwater-village,1.7768939448900003,-118.265062959891,34.1261376500043,11707,5855,5853,9q5fhu6p0m1k
106,glassell-park,2.7529101051200002,-118.236105706163,34.115326970477,24703,12538,12165,9q5fj6x05jcs
107,mount-washington,1.85040389289,-118.216904281722,34.1034296302249,14515,7277,7238,9q5fjbm4fkp1
108,highland-park,3.4194179003400005,-118.19275860867201,34.1155605635774,53227,26339,26888,9q5fn6w9t17t
109,eagle-rock,4.25075591913,-118.20776714683599,34.1361472234733,34764,16750,18014,9q5fnn79rrh3
110,tujunga,10.0158177057,-118.280952764839,34.2585207659976,27273,13180,14093,9q5fukw6q51h
111,sylmar,12.4563875325,-118.44895707434999,34.3128779420053,80973,40211,40762,9q5g0wkp5201
112,lake-view-terrace,4.23104663578,-118.364920430668,34.2806189088833,13802,7049,6753,9q5g489716w3
